user_id,birthday,gender,birth,birth_year,birth_month
154930665,20110218.0,0.0,2011-02-18,2011,2
155969997,20120505.0,0.0,2012-05-05,2012,5
159129426,20100825.0,0.0,2010-08-25,2010,8
163555902,,1.0,2009-05-02,2009,5
166937481,20130620.0,1.0,2013-06-20,2013,6
172453374,20130206.0,1.0,2013-02-06,2013,2
174880005,,0.0,2007-09-10,2007,9
180473754,20130522.0,0.0,2013-05-22,2013,5
186418698,20120118.0,1.0,2012-01-18,2012,1
188799366,20111130.0,1.0,2011-11-30,2011,11
191156136,20130415.0,0.0,2013-04-15,2013,4
196293483,20100117.0,1.0,2010-01-17,2010,1
197066280,,0.0,2008-05-10,2008,5
198339735,20110128.0,0.0,2011-01-28,2011,1
199354107,20100310.0,1.0,2010-03-10,2010,3
201402855,,0.0,2008-12-18,2008,12
211057395,,0.0,2008-03-11,2008,3
219658557,20130220.0,1.0,2013-02-20,2013,2
224653845,20111114.0,1.0,2011-11-14,2011,11
229407174,,0.0,2008-12-23,2008,12
235795692,20130425.0,0.0,2013-04-25,2013,4
241837911,20121225.0,0.0,2012-12-25,2012,12
250900287,20130708.0,1.0,2013-07-08,2013,7
255635397,20130607.0,1.0,2013-06-07,2013,6
260087412,20130309.0,0.0,2013-03-09,2013,3
264579453,20140512.0,0.0,2014-05-12,2014,5
267910347,,0.0,2007-11-21,2007,11
272757969,20110224.0,0.0,2011-02-24,2011,2
275261625,20100525.0,0.0,2010-05-25,2010,5
276219687,20130529.0,1.0,2013-05-29,2013,5
277629531,20130830.0,,2013-08-30,2013,8
279722190,,0.0,2009-03-18,2009,3
286307391,20111009.0,0.0,2011-10-09,2011,10
292966044,20100916.0,1.0,2010-09-16,2010,9
300931383,20131219.0,0.0,2013-12-19,2013,12
305489040,20130811.0,1.0,2013-08-11,2013,8
316263477,20110717.0,1.0,2011-07-17,2011,7
322204938,20130626.0,0.0,2013-06-26,2013,6
325759617,20100812.0,1.0,2010-08-12,2010,8
326454822,,1.0,2009-04-03,2009,4
332182758,20120714.0,1.0,2012-07-14,2012,7
338734269,20130926.0,1.0,2013-09-26,2013,9
343603914,20130225.0,1.0,2013-02-25,2013,2
348109281,20100208.0,1.0,2010-02-08,2010,2
352463907,20110402.0,0.0,2011-04-02,2011,4
354804408,20130327.0,0.0,2013-03-27,2013,3
357851268,20120621.0,1.0,2012-06-21,2012,6
359890617,20140324.0,0.0,2014-03-24,2014,3
360647838,20140120.0,0.0,2014-01-20,2014,1
363164958,20141229.0,0.0,2014-12-29,2014,12
367595379,20100923.0,1.0,2010-09-23,2010,9
371646807,20140915.0,1.0,2014-09-15,2014,9
373726419,20130828.0,0.0,2013-08-28,2013,8
378028878,20120208.0,0.0,2012-02-08,2012,2
379910739,20110226.0,0.0,2011-02-26,2011,2
384841734,20120830.0,1.0,2012-08-30,2012,8
387079260,20131018.0,1.0,2013-10-18,2013,10
389377821,20140520.0,0.0,2014-05-20,2014,5
393226650,20130425.0,1.0,2013-04-25,2013,4
396311979,20110926.0,1.0,2011-09-26,2011,9
403609077,20110802.0,0.0,2011-08-02,2011,8
405674478,20121028.0,1.0,2012-10-28,2012,10
408325776,20140505.0,0.0,2014-05-05,2014,5
410161398,,1.0,2007-05-06,2007,5
412025994,20130402.0,1.0,2013-04-02,2013,4
414338337,20150123.0,1.0,2015-01-23,2015,1
419554296,20120709.0,1.0,2012-07-09,2012,7
422641140,20120820.0,1.0,2012-08-20,2012,8
426768576,20130401.0,1.0,2013-04-01,2013,4
438010029,20120807.0,1.0,2012-08-07,2012,8
442973445,20130520.0,1.0,2013-05-20,2013,5
451100817,20110724.0,1.0,2011-07-24,2011,7
460971987,20111001.0,0.0,2011-10-01,2011,10
474782625,20140715.0,1.0,2014-07-15,2014,7
478118517,20131103.0,0.0,2013-11-03,2013,11
486503874,20120910.0,1.0,2012-09-10,2012,9
502828062,20111017.0,1.0,2011-10-17,2011,10
515908401,20110714.0,0.0,2011-07-14,2011,7
528643545,20121204.0,0.0,2012-12-04,2012,12
550066806,20131101.0,1.0,2013-11-01,2013,11
573822792,20141226.0,0.0,2014-12-26,2014,12
581726208,20150815.0,1.0,2015-08-15,2015,8
592767759,20140824.0,1.0,2014-08-24,2014,8
602646492,20130712.0,1.0,2013-07-12,2013,7
606024981,20140326.0,0.0,2014-03-26,2014,3
620090085,20140908.0,1.0,2014-09-08,2014,9
628378860,20120816.0,0.0,2012-08-16,2012,8
633734925,20120324.0,0.0,2012-03-24,2012,3
645596397,20130220.0,0.0,2013-02-20,2013,2
648024036,20110730.0,1.0,2011-07-30,2011,7
648783804,,0.0,2007-06-09,2007,6
652992315,,0.0,2008-12-31,2008,12
656871588,20110905.0,1.0,2011-09-05,2011,9
660371928,20130305.0,1.0,2013-03-05,2013,3
665216877,20140226.0,0.0,2014-02-26,2014,2
669342381,20131018.0,1.0,2013-10-18,2013,10
672591831,20140807.0,1.0,2014-08-07,2014,8
674462565,20131028.0,1.0,2013-10-28,2013,10
676404930,20141215.0,1.0,2014-12-15,2014,12
679878153,20130927.0,0.0,2013-09-27,2013,9
682888656,20150406.0,1.0,2015-04-06,2015,4
686047242,20100304.0,0.0,2010-03-04,2010,3
690267186,20140104.0,,2014-01-04,2014,1
693449541,,1.0,2007-01-13,2007,1
698867133,20140925.0,0.0,2014-09-25,2014,9
705109899,20150318.0,0.0,2015-03-18,2015,3
707774847,20110331.0,0.0,2011-03-31,2011,3
712034589,20110106.0,0.0,2011-01-06,2011,1
714919791,20120316.0,1.0,2012-03-16,2012,3
717297456,20130612.0,1.0,2013-06-12,2013,6
718935048,20121028.0,0.0,2012-10-28,2012,10
723397857,20110917.0,0.0,2011-09-17,2011,9
726334191,20100225.0,1.0,2010-02-25,2010,2
728180676,20101212.0,0.0,2010-12-12,2010,12
730302768,20110330.0,1.0,2011-03-30,2011,3
732541962,20121228.0,1.0,2012-12-28,2012,12
734958687,20120916.0,1.0,2012-09-16,2012,9
737930496,20140515.0,1.0,2014-05-15,2014,5
741473940,20140723.0,1.0,2014-07-23,2014,7
743631006,20130224.0,1.0,2013-02-24,2013,2
746338356,20130806.0,1.0,2013-08-06,2013,8
750833184,20101104.0,0.0,2010-11-04,2010,11
753852498,20131011.0,0.0,2013-10-11,2013,10
756621534,20141016.0,1.0,2014-10-16,2014,10
758277216,20141026.0,0.0,2014-10-26,2014,10
761265678,20130927.0,1.0,2013-09-27,2013,9
764418129,20121012.0,1.0,2012-10-12,2012,10
766386444,20140115.0,0.0,2014-01-15,2014,1
771232308,20100415.0,0.0,2010-04-15,2010,4
775276242,20110201.0,0.0,2011-02-01,2011,2
779336988,20100310.0,1.0,2010-03-10,2010,3
785311611,20121003.0,0.0,2012-10-03,2012,10
787693926,,1.0,2008-12-26,2008,12
793020597,20120427.0,0.0,2012-04-27,2012,4
798742650,20131104.0,1.0,2013-11-04,2013,11
805018083,20121006.0,1.0,2012-10-06,2012,10
809862801,20140121.0,1.0,2014-01-21,2014,1
816959238,20120621.0,0.0,2012-06-21,2012,6
824413527,20131201.0,0.0,2013-12-01,2013,12
827639760,20140101.0,0.0,2014-01-01,2014,1
829440261,20131218.0,0.0,2013-12-18,2013,12
838135776,20130206.0,0.0,2013-02-06,2013,2
844344519,20120210.0,1.0,2012-02-10,2012,2
848302497,20140218.0,1.0,2014-02-18,2014,2
849430227,20140619.0,0.0,2014-06-19,2014,6
859624068,20110824.0,1.0,2011-08-24,2011,8
870668820,20140211.0,1.0,2014-02-11,2014,2
874621830,20101220.0,1.0,2010-12-20,2010,12
883158198,20130610.0,1.0,2013-06-10,2013,6
